
Step 100, Avg Loss: 0.7050650745630265, F1 Score: 0.3454101498053191
Step 7900, Avg Loss: 0.6509463143348694, F1 Score: 0.7120524944514137
Step 8000, Avg Loss: 0.6479411813616752, F1 Score: 0.7065108847613342
Step 8100, Avg Loss: 0.6211777955293656, F1 Score: 0.7078534031413612
Step 8200, Avg Loss: 0.6285864937305451, F1 Score: 0.7159499496620164
Step 8300, Avg Loss: 0.6519376474618912, F1 Score: 0.7189388217522659
Step 8400, Avg Loss: 0.6280451303720475, F1 Score: 0.7210010779397291
Step 8500, Avg Loss: 0.6268244433403015, F1 Score: 0.7173223045109166
Step 8600, Avg Loss: 0.6481490379571915, F1 Score: 0.7181385510312004
Step 8700, Avg Loss: 0.6252412804961205, F1 Score: 0.7175816203143893
Step 8800, Avg Loss: 0.6212140235304833, F1 Score: 0.7138425173585463
Step 8900, Avg Loss: 0.6393701687455178, F1 Score: 0.7127283588033252
Step 9000, Avg Loss: 0.6432882225513459, F1 Score: 0.7184776292852992
Step 9100, Avg Loss: 0.6401759847998619, F1 Score: 0.7119971877667856
Step 9200, Avg Loss: 0.6213411056995392, F1 Score: 0.7114696244013108
Step 9300, Avg Loss: 0.6403036987781525, F1 Score: 0.7108494874657465
Step 9400, Avg Loss: 0.6405463755130768, F1 Score: 0.7064892190240379
Step 9500, Avg Loss: 0.6272260549664498, F1 Score: 0.7063150805574263
Step 9600, Avg Loss: 0.6262025570869446, F1 Score: 0.7170072739868375
Step 9700, Avg Loss: 0.622691171169281, F1 Score: 0.7181353265145555
Step 9800, Avg Loss: 0.6301995268464089, F1 Score: 0.7121782480415099
Step 9900, Avg Loss: 0.6239648675918579, F1 Score: 0.7064329918352489
Step 10000, Avg Loss: 0.6322861832380294, F1 Score: 0.7079325680008274
Step 10100, Avg Loss: 0.6027918034791946, F1 Score: 0.7129648445437919
Step 10200, Avg Loss: 0.6292527586221695, F1 Score: 0.7133770925558439
Step 10300, Avg Loss: 0.623879226744175, F1 Score: 0.7179
Step 10400, Avg Loss: 0.6214846801757813, F1 Score: 0.7185819557857
Step 10500, Avg Loss: 0.6210657376050949, F1 Score: 0.7114808308360029
Step 10600, Avg Loss: 0.6449065256118774, F1 Score: 0.7151786167996341
Step 10700, Avg Loss: 0.6214714094996452, F1 Score: 0.71404468531111
Step 10800, Avg Loss: 0.6150382485985756, F1 Score: 0.7128202484664158
Step 10900, Avg Loss: 0.6183868256211281, F1 Score: 0.7062608787383301
Step 11000, Avg Loss: 0.6364946109056473, F1 Score: 0.6927300680869756
Step 11100, Avg Loss: 0.6146402448415756, F1 Score: 0.6879341966320236
Step 11200, Avg Loss: 0.6389180108904838, F1 Score: 0.6923796423658872
Step 11300, Avg Loss: 0.617776897251606, F1 Score: 0.6945295404814005
Step 11400, Avg Loss: 0.6462996882200241, F1 Score: 0.6929984024679117
Step 11500, Avg Loss: 0.6445743006467819, F1 Score: 0.6945496459739832
Step 11600, Avg Loss: 0.6579469725489616, F1 Score: 0.7066964760992228
Step 11700, Avg Loss: 0.6283223548531532, F1 Score: 0.7082582423407188
Step 11800, Avg Loss: 0.6094313621520996, F1 Score: 0.7162588588277896
Step 11900, Avg Loss: 0.6018346014618874, F1 Score: 0.7163391933815926
Step 12000, Avg Loss: 0.6254020187258721, F1 Score: 0.711282078305317
Step 12100, Avg Loss: 0.6415825566649437, F1 Score: 0.7205634665441739
Step 12200, Avg Loss: 0.6281889653205872, F1 Score: 0.7226159141526625
Step 12300, Avg Loss: 0.6362927365303039, F1 Score: 0.7228424325839833
Step 12400, Avg Loss: 0.6078606206178665, F1 Score: 0.715615521388976
Step 12500, Avg Loss: 0.6143250435590744, F1 Score: 0.7260782347041124
Step 12600, Avg Loss: 0.6227622818946839, F1 Score: 0.728474188900482
Step 12700, Avg Loss: 0.6208440381288528, F1 Score: 0.7200206398348813
Step 12800, Avg Loss: 0.6015651887655258, F1 Score: 0.7144060657118787
Step 12900, Avg Loss: 0.6085134828090668, F1 Score: 0.7136344359626803
Step 13000, Avg Loss: 0.5993042299151421, F1 Score: 0.719247166476032
Step 13100, Avg Loss: 0.6209122113883495, F1 Score: 0.7238668844426297
Step 13200, Avg Loss: 0.616859434247017, F1 Score: 0.7229410556582461
Step 13300, Avg Loss: 0.5878246375918388, F1 Score: 0.7173341742878167
Step 13400, Avg Loss: 0.6137035489082336, F1 Score: 0.7119277816355963
Step 13500, Avg Loss: 0.6091446572542191, F1 Score: 0.7124252775405636
Step 13600, Avg Loss: 0.6391041377186775, F1 Score: 0.7177491454115172
Step 13700, Avg Loss: 0.6312531462311745, F1 Score: 0.7182128777923784
Step 13800, Avg Loss: 0.5952240294218063, F1 Score: 0.7156050955414013
Step 13900, Avg Loss: 0.5941839838027954, F1 Score: 0.7168814705260934
