
Step 92000, Avg Loss: 0.38088176227035003
Step 92500, Avg Loss: 0.3892008923238609
Step 93000, Avg Loss: 0.38625791601953097
Step 93500, Avg Loss: 0.43801057333382776
Step 94000, Avg Loss: 0.3759426146503538
Step 94500, Avg Loss: 0.39353320422931576
Step 95000, Avg Loss: 0.39187838133680636
-----Step 95000, F1 Score: 0.8263874771294979-----
Step 95500, Avg Loss: 0.3870465969892684
Step 96000, Avg Loss: 0.40944750641752037
Step 96500, Avg Loss: 0.40350809252378533
Step 97000, Avg Loss: 0.406305005628732
Step 97500, Avg Loss: 0.41986460002628156
Step 98000, Avg Loss: 0.39105632377800065
Step 98500, Avg Loss: 0.3837894227823708
Step 99000, Avg Loss: 0.37294921036134476
Step 99500, Avg Loss: 0.34985096514085307
Step 100000, Avg Loss: 0.3864391113386955
-----Step 100000, F1 Score: 0.8291969330104924-----
Step 100500, Avg Loss: 0.37515491352730895
Step 101000, Avg Loss: 0.3863047683725599
Step 101500, Avg Loss: 0.36140529622347095
Step 102000, Avg Loss: 0.398362146416679
Step 102500, Avg Loss: 0.35020560322911476
Step 103000, Avg Loss: 0.4086654494517716
Step 103500, Avg Loss: 0.41120667798793875
Step 104000, Avg Loss: 0.389569316864945
Step 104500, Avg Loss: 0.4050186717538163
Step 105000, Avg Loss: 0.3736082374623511
-----Step 105000, F1 Score: 0.8322918766377746-----
Step 105500, Avg Loss: 0.37774566561484246
Step 106000, Avg Loss: 0.36781859277165496
Step 106500, Avg Loss: 0.4031879841958871
Step 107000, Avg Loss: 0.37936880165105685
Step 107500, Avg Loss: 0.4141600737365661
Step 108000, Avg Loss: 0.3401561896246858
Step 108500, Avg Loss: 0.3645381261808798
Step 109000, Avg Loss: 0.4166852542076958
Step 109500, Avg Loss: 0.3978717738101259
Step 110000, Avg Loss: 0.40963567271636564
-----Step 110000, F1 Score: 0.8343403826787512-----
Step 110500, Avg Loss: 0.36837002177746037
Step 111000, Avg Loss: 0.370878183310153
Step 111500, Avg Loss: 0.36044686333683784
Step 112000, Avg Loss: 0.38083969221648295
Step 112500, Avg Loss: 0.40260643591347617
Step 113000, Avg Loss: 0.3466732987688156
Step 113500, Avg Loss: 0.36766904638218695
Step 114000, Avg Loss: 0.3944388504270464
Step 114500, Avg Loss: 0.3571986963667441
Step 115000, Avg Loss: 0.3713838709781994
-----Step 115000, F1 Score: 0.8294221027602605-----
Step 115500, Avg Loss: 0.33862826574174687
Step 116000, Avg Loss: 0.38174623506946953
Step 116500, Avg Loss: 0.3915921925721923
Step 117000, Avg Loss: 0.3755936604232993
Step 117500, Avg Loss: 0.3882674188737292
Step 118000, Avg Loss: 0.37850660377193707
Step 118500, Avg Loss: 0.3776530436918838
Step 119000, Avg Loss: 0.3600816173623316
Step 119500, Avg Loss: 0.4004463430454489
Step 120000, Avg Loss: 0.37376822902169077
-----Step 120000, F1 Score: 0.8360871768879878-----
Step 120500, Avg Loss: 0.3507136782078305
Step 121000, Avg Loss: 0.3421349997397046
Step 121500, Avg Loss: 0.4009389081087429
Step 122000, Avg Loss: 0.3720505814020289
Step 122500, Avg Loss: 0.37612407251412516
Step 123000, Avg Loss: 0.3593650062038796
Step 123500, Avg Loss: 0.37998762576840817
Step 124000, Avg Loss: 0.35139185020991137
Step 124500, Avg Loss: 0.39154581115709153
Step 125000, Avg Loss: 0.3365489001258975
-----Step 125000, F1 Score: 0.838150289017341-----
Step 125500, Avg Loss: 0.3418601927093987
Step 126000, Avg Loss: 0.3879872088681441
Step 126500, Avg Loss: 0.35979589793237393
Step 127000, Avg Loss: 0.33693759799865075
Step 127500, Avg Loss: 0.3496784285743488
Step 128000, Avg Loss: 0.3517111619337811
Step 128500, Avg Loss: 0.3976775151131442
Step 129000, Avg Loss: 0.36377656467829367
Step 129500, Avg Loss: 0.35561283964413454
Step 130000, Avg Loss: 0.3704581429414684
-----Step 130000, F1 Score: 0.8397396786658532-----
Step 130500, Avg Loss: 0.33038835995341653
Step 131000, Avg Loss: 0.3788921582264011
Step 131500, Avg Loss: 0.39876885065814716
Step 132000, Avg Loss: 0.35220043000066653
Step 132500, Avg Loss: 0.3513475566117559
Step 133000, Avg Loss: 0.35349605153221636
Step 133500, Avg Loss: 0.3462020721047302
Step 134000, Avg Loss: 0.3284846487400937
Step 134500, Avg Loss: 0.3340803147581755
Step 135000, Avg Loss: 0.30742969656846253
-----Step 135000, F1 Score: 0.8420368797161562-----
Step 135500, Avg Loss: 0.36585918099200354
Step 136000, Avg Loss: 0.3899540897800471
Step 136500, Avg Loss: 0.3186952933211869
Step 137000, Avg Loss: 0.3466281713416101
Step 137500, Avg Loss: 0.3667708846773603
Step 138000, Avg Loss: 0.35993613020365595
Step 138500, Avg Loss: 0.35788618532026883
Step 139000, Avg Loss: 0.3654010699004284
Step 139500, Avg Loss: 0.3976556132666301
Step 140000, Avg Loss: 0.321766575486341
-----Step 140000, F1 Score: 0.8400918133129304-----
Step 140500, Avg Loss: 0.3771804446396418
Step 141000, Avg Loss: 0.32822380699246423
Step 141500, Avg Loss: 0.39747976729721995
Step 142000, Avg Loss: 0.3629260500583914
Step 142500, Avg Loss: 0.3650421119023813
Step 143000, Avg Loss: 0.3460901952506392
Step 143500, Avg Loss: 0.37885441599763
Step 144000, Avg Loss: 0.3927635812241351
Step 144500, Avg Loss: 0.38732091814122394
Step 145000, Avg Loss: 0.34438459077553124
-----Step 145000, F1 Score: 0.8457893178003751-----
Step 145500, Avg Loss: 0.3517645453653531
Step 146000, Avg Loss: 0.3989444295896101
Step 146500, Avg Loss: 0.38302226377121407
Step 147000, Avg Loss: 0.3495317917349166
Step 147500, Avg Loss: 0.333496502357797
Step 148000, Avg Loss: 0.3235290627051145
Step 148500, Avg Loss: 0.36726579847448737
Step 149000, Avg Loss: 0.36069481396127956
Step 149500, Avg Loss: 0.3955075251472299
Step 150000, Avg Loss: 0.3369993979851133
